name,date,items
Makeda Magana  ,09/11/2020,"[{""name"":""09/11/2020 - Whole Milk"",""quantity"":9.6 Litres, ""unit_cost""£1.45}]"
Jillian Gourd  ,09/11/2020,"[{""name"":""09/11/2020 - Whole Milk"",""quantity"":5.5 Litres, ""unit_cost""£1.45}]"
Karren Filip  ,09/11/2020,"[{""name"":""09/11/2020 - Whole Milk"",""quantity"":3.2 Litres, ""unit_cost""£1.45}]"
Eloy Kratz  ,09/11/2020,"[{""name"":""09/11/2020 - Whole Milk"",""quantity"":1.0 Litres, ""unit_cost""£1.45}]"
Silva Cimino  ,09/11/2020,"[{""name"":""09/11/2020 - Whole Milk"",""quantity"":1.5 Litres, ""unit_cost""£1.45}]"
Beulah Amante  ,10/11/2020,"[{""name"":""10/11/2020 - Whole Milk"",""quantity"":2.5 Litres, ""unit_cost""£1.45}]"
Claudette Levron  ,10/11/2020,"[{""name"":""10/11/2020 - Whole Milk"",""quantity"":1.5 Litres, ""unit_cost""£1.45}]"
Hortensia Kerry  ,10/11/2020,"[{""name"":""10/11/2020 - Whole Milk"",""quantity"":9.6 Litres, ""unit_cost""£1.45}]"
Marlana Goertz  ,12/11/2020,"[{""name"":""12/11/2020 - Whole Milk"",""quantity"":9.6 Litres, ""unit_cost""£1.45}]"
Jillian Gourd  ,12/11/2020,"[{""name"":""12/11/2020 - Whole Milk"",""quantity"":5.5 Litres, ""unit_cost""£1.45}]"
Adelia Amundsen  ,12/11/2020,"[{""name"":""12/11/2020 - Whole Milk"",""quantity"":3.2 Litres, ""unit_cost""£1.45}]"
Porsha Dominy  ,13/11/2020,"[{""name"":""13/11/2020 - Whole Milk"",""quantity"":1.0 Litres, ""unit_cost""£1.45}]"
Kaila Arambula  ,13/11/2020,"[{""name"":""13/11/2020 - Whole Milk"",""quantity"":1.5 Litres, ""unit_cost""£1.45}]"
Gayla Groseclose  ,16/11/2020,"[{""name"":""16/11/2020 - Whole Milk"",""quantity"":2.5 Litres, ""unit_cost""£1.45}]"
Loida Gagnon  ,16/11/2020,"[{""name"":""16/11/2020 - Whole Milk"",""quantity"":1.5 Litres, ""unit_cost""£1.45}]"
Jillian Gourd  ,17/11/2020,"[{""name"":""17/11/2020 - Whole Milk"",""quantity"":9.6 Litres, ""unit_cost""£1.45}]"
Roosevelt Douse  ,17/11/2020,"[{""name"":""17/11/2020 - Whole Milk"",""quantity"":5.5 Litres, ""unit_cost""£1.45}]"
Bella Phelps  ,17/11/2020,"[{""name"":""17/11/2020 - Whole Milk"",""quantity"":3.2 Litres, ""unit_cost""£1.45}]"
Matilde Velasques  ,19/11/2020,"[{""name"":""19/11/2020 - Whole Milk"",""quantity"":1.0 Litres, ""unit_cost""£1.45}]"
Kenda Kong  ,19/11/2020,"[{""name"":""19/11/2020 - Whole Milk"",""quantity"":1.5 Litres, ""unit_cost""£1.45}]"
Natacha Mothershed  ,20/11/2020,"[{""name"":""20/11/2020 - Whole Milk"",""quantity"":2.5 Litres, ""unit_cost""£1.45}]"
Maryanna Pettiway  ,20/11/2020,"[{""name"":""20/11/2020 - Whole Milk"",""quantity"":1.5 Litres, ""unit_cost""£1.45}]"
